,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
73,45500.0,6027700.0,2723900.0,45.5,44700.0,2593750.0,641550.0,28.35,73.85,1846.2499999999998,-873.8499999999985,-1.9338975942743233,-11.832769126607971
74,45700.0,3450825.0,1492750.0,18.95,44900.0,3096150.0,1801275.0,56.85,75.8,1895.0,-875.7999999999956,-1.938213094999653,-11.554089709762476
75,46000.0,4340325.0,1180850.0,7.8,45400.0,1194400.0,265575.0,275.05,282.85,7071.250000000001,-882.8500000000058,-1.953815289929737,-3.1212656885275085
76,45000.0,2440075.0,1173100.0,276.9,44400.0,1870800.0,306325.0,11.65,288.54999999999995,7213.749999999999,-888.5500000000029,-1.966429830511482,-3.0793623288858187
77,45400.0,4535250.0,2639075.0,69.9,44600.0,2667550.0,780250.0,20.15,90.05000000000001,2251.2500000000005,-890.0500000000029,-1.9697494464540481,-9.883953359244895
78,45800.0,2359900.0,438450.0,13.05,45000.0,7724850.0,4165800.0,81.3,94.35,2358.75,-894.3500000000058,-1.9792656788227443,-9.479067302596777
79,46000.0,4340325.0,1180850.0,7.8,45300.0,2801750.0,573900.0,210.05,217.85000000000002,5446.250000000001,-917.8500000000058,-2.031272995256282,-4.213220105577259
80,45300.0,5254300.0,3348375.0,105.3,44500.0,4072275.0,646925.0,15.25,120.55,3013.75,-920.5500000000029,-2.037248303952895,-7.636250518457096
81,45100.0,2374975.0,1930075.0,209.0,44400.0,1870800.0,306325.0,11.65,220.65,5516.25,-920.6500000000015,-2.0374696116823956,-4.172445048719698
82,45900.0,1876100.0,583675.0,9.6,45100.0,4001700.0,2254300.0,113.15,122.75,3068.75,-922.75,-2.042117074001985,-7.517311608961304
83,45600.0,3584900.0,1722975.0,29.2,44700.0,2593750.0,641550.0,28.35,57.55,1438.75,-957.5499999999956,-2.119132163869512,-16.63857515204163
84,45700.0,3450825.0,1492750.0,18.95,44800.0,3248775.0,820475.0,39.7,58.650000000000006,1466.2500000000002,-958.6499999999942,-2.1215665488940574,-16.34526854219939
85,45200.0,5808700.0,4299350.0,150.55,44400.0,1870800.0,306325.0,11.65,162.20000000000002,4055.0000000000005,-962.2000000000044,-2.1294229732914864,-5.932182490752184
86,46000.0,4340325.0,1180850.0,7.8,45200.0,5573200.0,3331225.0,155.75,163.55,4088.7500000000005,-963.5500000000029,-2.1324106276397927,-5.891470498318575
87,45500.0,6027700.0,2723900.0,45.5,44600.0,2667550.0,780250.0,20.15,65.65,1641.2500000000002,-965.6500000000015,-2.1370580899593823,-14.70906321401373
88,45800.0,2359900.0,438450.0,13.05,44900.0,3096150.0,1801275.0,56.85,69.9,1747.5000000000002,-969.9000000000015,-2.14646366846332,-13.875536480686716
89,46100.0,1754375.0,698050.0,6.3,45400.0,1194400.0,265575.0,275.05,281.35,7033.750000000001,-981.3500000000058,-2.171803403491585,-3.488004265150189
90,45400.0,4535250.0,2639075.0,69.9,44500.0,4072275.0,646925.0,15.25,85.15,2128.75,-985.1500000000015,-2.180213097212743,-11.569583088667075
91,45000.0,2440075.0,1173100.0,276.9,44300.0,2207225.0,112700.0,9.5,286.4,7159.999999999999,-986.4000000000015,-2.1829794438315484,-3.444134078212296
92,45900.0,1876100.0,583675.0,9.6,45000.0,7724850.0,4165800.0,81.3,90.89999999999999,2272.5,-990.9000000000015,-2.192938291659247,-10.900990099009919
93,46100.0,1754375.0,698050.0,6.3,45300.0,2801750.0,573900.0,210.05,216.35000000000002,5408.750000000001,-1016.3500000000058,-2.2492611088181302,-4.697712040674859
94,45300.0,5254300.0,3348375.0,105.3,44400.0,1870800.0,306325.0,11.65,116.95,2923.75,-1016.9500000000044,-2.2505889551951532,-8.695596408721713
95,45100.0,2374975.0,1930075.0,209.0,44300.0,2207225.0,112700.0,9.5,218.5,5462.5,-1018.5,-2.2540192250024624,-4.661327231121281
